Player,Tm,League,Pos,Salary,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,Wsper
Elena Delle Donne,WAS,0,F-G,117000,74.76470589,74.76470589,34.92,8.52,16.56,0.515,2.04,4.68,0.43,6.48,11.88,0.549,0.576,4.44,4.56,0.974,1.8,8.04,9.84,2.64,0.72,1.56,1.2,1.2,23.4,31.8,0.633,0.283,0.274,6.6,17.2,13.2,1.1,3.6,5.9,25.7,7.254,1.755,0.343
Brittney Griner,PHO,0,C,115000,74.76470589,74.76470589,39.36,10.44,18.6,0.564,0,0.12,0.333,10.44,18.48,0.565,0.565,3.96,4.8,0.808,1.92,6.72,8.64,2.88,0.84,2.4,3,3.24,24.84,26.4,0.601,0.006,0.261,6,12.6,17.9,1.1,4.8,12.5,28.4,4.212,1.755,0.198
Jonquel Jones,CON,0,F,59718,82,82,34.56,6.12,13.68,0.448,1.56,4.92,0.309,4.56,8.76,0.526,0.504,3.84,4.68,0.818,3.96,7.68,11.64,1.8,1.56,2.4,2.28,3.36,17.52,24.3,0.56,0.36,0.342,12.5,19.3,9.2,2.2,6.1,12.9,22.6,3.861,2.808,0.23
Emma Meesseman,WAS,0,F,117500,55.47058824,14.47058824,28.32,6.36,11.52,0.552,0.96,2.4,0.422,5.4,9.24,0.585,0.595,2.04,2.16,0.905,1.44,3.6,5.04,3.84,1.08,0.84,1.2,2.16,15.72,27.3,0.628,0.204,0.19,6.2,10.9,22.7,1.9,2.3,8.4,22,3.861,0.819,0.292
Allie Quigley,CHI,0,G,117500,82,82,34.32,6,12.24,0.493,2.88,6.36,0.442,3.24,5.88,0.548,0.608,1.68,1.92,0.87,0.48,3.12,3.6,3,0.96,0.24,1.68,2.16,16.56,17.8,0.632,0.522,0.156,1.6,5.8,14.5,1.4,0.5,11,18.7,3.744,0.585,0.154
Nneka Ogwumike,LAS,0,F,115000,77.17647059,77.17647059,33.48,7.8,15.24,0.51,0.84,2.52,0.338,6.96,12.72,0.544,0.538,2.88,3.48,0.828,2.76,7.8,10.56,2.16,2.28,0.6,2.16,3.48,19.32,25.7,0.575,0.167,0.229,9.3,18,12.4,3.4,1.4,11.5,25.2,3.627,2.808,0.248
Sylvia Fowles,MIN,0,C,113360,82,82,35.4,6.96,11.88,0.588,0,0,,6.96,11.88,0.588,0.588,2.52,3.48,0.707,3.24,7.44,10.68,1.8,1.08,1.68,2.4,3.12,16.32,22.2,0.613,0,0.296,11.4,18.5,9.1,1.6,4.1,15.2,20,3.627,2.574,0.211
Allisha Gray,DAL,0,G,57886,82,69.94117647,36.48,4.08,9,0.457,1.2,3,0.384,3,6,0.494,0.521,3.36,3.96,0.848,1.56,3.36,4.92,2.76,1.44,0.48,1.68,3.12,12.72,16.5,0.593,0.336,0.438,4.9,8.1,14.1,2.2,1.2,13.8,15.8,3.627,0.585,0.14
Courtney Vandersloot,CHI,0,G,117500,79.5882353,79.5882353,36,4.92,10.92,0.452,1.08,3.84,0.29,3.84,6.96,0.542,0.503,2.52,2.88,0.85,0.72,4.44,5.16,10.92,1.68,0.6,3.48,1.8,13.44,20.5,0.552,0.358,0.268,2.4,8.1,47,2.2,1.1,22.3,18.9,3.51,1.287,0.166
Leilani Mitchell,PHO,0,G,96757,77.17647059,65.11764706,36.36,5.04,11.4,0.441,2.76,6.48,0.43,2.28,4.92,0.455,0.563,2.52,3.12,0.829,0.6,3,3.6,4.8,1.08,0.36,2.16,2.88,15.36,17.6,0.603,0.566,0.27,2,5.7,24.4,1.6,0.8,14.6,19.5,3.276,0.702,0.142
Napheesa Collier,MIN,0,F,49539,82,82,39.96,5.88,12,0.49,1.08,2.88,0.361,4.8,9.12,0.531,0.534,2.88,3.6,0.792,2.16,5.76,7.92,3.12,2.28,1.08,2.28,3.48,15.72,18.5,0.576,0.243,0.296,6.6,12.1,12.6,3,2.5,14.4,17.9,3.276,2.808,0.185
Kristi Toliver,WAS,0,G,115000,55.47058824,55.47058824,35.4,6,12.24,0.494,1.92,5.16,0.36,4.2,7.08,0.593,0.57,1.56,1.8,0.857,0.6,2.88,3.48,7.08,1.44,0.12,2.4,1.56,15.6,20.9,0.595,0.426,0.149,2,6,31.1,2.1,0.2,15.8,20,3.159,0.702,0.195
Arike Ogunbowale,DAL,0,G,49539,79.5882353,67.52941177,38.52,7.8,20.04,0.388,2.04,5.88,0.352,5.76,14.16,0.404,0.44,5.28,6.48,0.815,0.72,2.16,2.88,3.84,1.32,0,2.52,3.12,22.92,18.3,0.501,0.294,0.323,2.1,4.5,22.5,1.8,0.1,9.8,30.4,3.042,0.117,0.101
Teaira McCowan,IND,0,C,53537,82,38.5882353,26.52,4.2,8.16,0.517,0,0,,4.2,8.16,0.517,0.517,3.6,5.28,0.687,3.84,6.96,10.8,0.24,0.72,1.56,1.56,3.84,12,22.5,0.576,0,0.652,17.1,23.4,1.9,1.4,4.8,12.9,20.4,3.042,1.521,0.208
Aerial Powers,WAS,0,F-G,59718,72.35294118,16.88235294,23.76,4.32,9.96,0.434,1.68,4.68,0.362,2.64,5.28,0.496,0.518,3.36,3.96,0.867,1.32,2.52,3.84,1.8,0.96,0.24,1.8,1.92,13.68,21.8,0.587,0.466,0.394,7.1,10,12,2.2,0.8,13.1,25.9,2.808,0.819,0.204
Kia Nurse,NYL,0,G,44273,82,82,35.28,5.04,12.72,0.393,2.28,6.48,0.353,2.76,6.24,0.435,0.483,4.08,4.68,0.872,0.72,2.28,3,2.76,0.84,0.12,1.92,2.16,16.44,14.7,0.554,0.51,0.368,2.1,4.8,13.5,1.3,0.3,11.8,20.8,2.691,-0.351,0.078
Liz Cambage,LVA,0,C,115000,77.17647059,72.35294118,30.24,7.32,14.64,0.504,0.12,0.48,0.167,7.32,14.16,0.515,0.506,4.32,5.76,0.748,2.4,7.44,9.84,2.52,0.72,1.92,2.76,3.36,19.08,24.3,0.558,0.031,0.398,8.7,17.6,16.8,1.2,5.2,13.6,28.1,2.574,2.34,0.204
DeWanna Bonner,PHO,0,F-G,127500,82,82,39.48,6.72,17.76,0.377,1.8,6.72,0.272,4.92,11.04,0.441,0.429,5.4,5.88,0.916,1.2,7.92,9.12,3.24,1.56,0.72,1.92,1.92,20.64,20.6,0.507,0.379,0.331,3.6,13.4,16.2,2.1,1.5,8.4,26.7,2.574,2.106,0.144
Kayla McBride,LVA,0,G,115000,82,82,34.92,5.4,12.6,0.425,2.16,5.16,0.428,3.12,7.56,0.423,0.511,3.12,3.36,0.906,0.72,4.2,4.92,3.12,1.44,0.12,2.04,1.68,15.96,16.7,0.566,0.405,0.268,2.5,7.8,15,2,0.2,12.8,19.9,2.574,1.755,0.149
Tianna Hawkins,WAS,0,F,70000,74.76470589,2.411764706,18.48,4.32,8.52,0.514,1.32,3.48,0.363,3.12,5.04,0.62,0.589,1.44,1.56,0.925,1.8,3.24,5.04,0.84,0.6,0.12,1.32,3,11.4,23.5,0.623,0.414,0.182,12.2,16.5,8.3,1.5,0.7,12.8,26.1,2.457,0.702,0.229
Natalie Achonwa,IND,0,F,105000,72.35294118,43.41176471,25.44,3.96,8.16,0.488,0.12,0.48,0.25,3.84,7.68,0.503,0.495,2.4,2.64,0.909,1.92,4.32,6.24,1.92,0.72,0.84,1.2,3.12,10.44,19.3,0.562,0.059,0.325,9,14.2,13.4,1.5,2.6,11.1,18.5,2.457,0.702,0.173
Natasha Howard,SEA,0,F,115000,82,82,37.68,8.04,18.24,0.439,1.08,3.72,0.308,6.84,14.52,0.472,0.47,4.56,5.52,0.81,3.24,6.6,9.84,2.52,2.64,2.04,3.48,3.48,21.72,24.2,0.523,0.201,0.306,10.1,16.1,14,3.7,4.8,14.4,29.4,2.34,3.042,0.173
Courtney Williams,CON,0,G,59718,82,82,34.92,6.6,15.12,0.435,0.6,1.2,0.457,6,13.92,0.433,0.453,2.16,2.64,0.8,1.68,5.04,6.72,4.56,1.68,0.48,1.92,1.68,15.84,19,0.486,0.081,0.174,5.3,11,23.2,2.4,1.2,10.8,22.8,2.34,1.755,0.143
Alysha Clark,SEA,0,F,84100,74.76470589,72.35294118,34.08,4.44,9.12,0.481,1.92,4.08,0.481,2.4,5.04,0.481,0.589,0.72,0.84,0.818,1.44,4.2,5.64,3,1.32,0.6,1.8,2.28,11.52,16.3,0.602,0.447,0.093,4.9,10.1,15.8,2,1.7,16.3,15.3,2.34,1.287,0.141
Ariel Atkins,WAS,0,G,49611,79.5882353,79.5882353,29.28,4.44,10.8,0.416,1.8,5.16,0.357,2.64,5.52,0.471,0.502,1.56,1.92,0.811,0.84,2.52,3.36,2.4,1.8,0.6,1.2,2.64,12.36,17,0.532,0.483,0.179,3.7,7,12.2,3.1,1.8,9.6,20,2.223,1.287,0.15
LaToya Sanders,WAS,0,F-C,115000,82,82,28.32,3.12,6.12,0.506,0,0,,3.12,6.12,0.506,0.506,1.2,1.32,0.892,1.56,5.04,6.6,2.28,1.08,1.68,1.08,2.52,7.32,16.3,0.55,0,0.215,6.8,14.1,11.6,1.9,4.8,13.7,12.4,2.223,1.755,0.167
Dearica Hamby,LVA,0,F,115000,82,21.70588235,29.76,4.92,10.2,0.488,0.6,1.92,0.321,4.32,8.28,0.525,0.517,2.64,3.6,0.718,2.64,6.48,9.12,2.28,1.2,0.48,2.16,2.52,13.2,18.9,0.558,0.183,0.356,10.1,16.6,13.4,1.9,1.2,15.4,20.2,2.106,2.106,0.169
Mercedes Russell,SEA,0,C,41965,82,72.35294118,30.72,3.72,7.2,0.52,0,0,,3.72,7.2,0.52,0.52,1.44,2.28,0.646,2.88,4.44,7.32,1.2,1.32,0.6,1.2,3,9,15.5,0.546,0,0.319,10.9,14.6,7,2.2,1.7,12.4,14,2.106,1.521,0.143
A'ja Wilson,LVA,0,F,53616,62.70588236,60.29411765,34.2,7.32,15.24,0.479,0,0,0,7.32,15.24,0.48,0.479,5.28,6.6,0.792,2.04,5.76,7.8,2.16,0.6,2.04,2.64,2.4,19.8,21,0.547,0.003,0.436,6.5,12.4,12,0.9,5,12.5,26.1,1.989,1.638,0.168
Alyssa Thomas,CON,0,F,115000,82,82,36.24,5.88,11.76,0.505,0,0,0,5.88,11.76,0.506,0.505,2.16,4.32,0.496,2.88,6.48,9.36,3.72,2.28,0.48,2.4,3.36,13.92,18.3,0.513,0.003,0.363,8.8,14.7,17.2,3.3,1.1,15.2,19.2,1.989,2.457,0.145
Shekinna Stricklen,CON,0,F,106000,82,82,28.32,3.72,9,0.408,2.64,7.08,0.382,0.96,1.92,0.5,0.557,0.72,0.96,0.815,0.36,1.92,2.28,1.32,1.2,0.24,0.96,2.76,10.8,12.9,0.573,0.78,0.106,1.2,4.6,7.8,2.2,0.8,9.5,15.9,1.989,1.053,0.129
Natasha Cloud,WAS,0,G,115000,82,82,38.52,3.84,9.84,0.394,1.56,4.92,0.326,2.28,4.92,0.461,0.475,1.44,2.16,0.683,0.24,2.76,3,6.72,1.2,0.24,2.28,2.4,10.8,12.2,0.501,0.495,0.215,0.7,4.7,24.1,1.7,0.5,17.5,15.5,1.989,0.936,0.09
Chiney Ogwumike,LAS,0,F-C,117500,77.17647059,33.76470588,26.16,4.68,9.48,0.494,0,0.12,0.25,4.68,9.36,0.498,0.496,2.04,2.52,0.809,3,3.96,6.96,0.96,1.2,0.84,1.56,4.08,11.52,18.4,0.541,0.016,0.269,13.3,15,6.2,2.4,2.8,12.9,20.8,1.872,1.638,0.171
Stefanie Dolson,CHI,0,C,115000,82,82,30,4.32,8.28,0.519,1.08,2.88,0.361,3.24,5.28,0.607,0.584,1.56,1.68,0.898,1.44,5.28,6.72,2.64,0.72,1.2,2.28,4.44,11.16,14.8,0.621,0.356,0.21,5.7,12.4,13.8,1.2,2.9,20.6,16.4,1.872,1.287,0.126
Elizabeth Williams,ATL,0,C-F,115000,77.17647059,77.17647059,34.08,3.96,8.76,0.455,0,0,,3.96,8.76,0.455,0.455,3.12,4.2,0.732,3.72,4.08,7.8,1.44,0.96,2.04,1.56,2.64,11.16,16.7,0.521,0,0.477,11.4,12.1,7.8,1.4,4.7,12.9,15.9,1.872,1.17,0.117
Cheyenne Parker,CHI,0,F,110000,82,0,23.64,3.72,8.28,0.459,0.12,0.6,0.278,3.6,7.56,0.474,0.47,2.88,3.36,0.842,2.16,4.8,6.96,1.08,0.84,1.44,1.56,2.88,10.56,18.7,0.544,0.077,0.408,11,16.4,7.2,1.8,4.6,14.1,20.8,1.638,1.404,0.157
Shatori Walker-Kimbrough,WAS,0,G,53563,82,2.411764706,20.52,2.64,6.24,0.432,0.72,2.52,0.31,1.92,3.72,0.514,0.494,1.92,2.04,0.93,0.6,1.32,1.92,1.44,0.96,0.24,1.2,1.44,8.04,15.2,0.564,0.403,0.324,3.6,5.6,10.6,2.5,1.1,14.5,18.5,1.521,0.702,0.13
Kelsey Mitchell,IND,0,G,53616,82,48.23529412,30.12,5.88,15.24,0.387,2.76,7.44,0.374,3.12,7.8,0.398,0.478,1.8,2.16,0.836,0.12,1.8,1.92,3.12,0.48,0.12,2.04,2.04,16.32,15.1,0.506,0.488,0.141,0.6,3.8,20.2,0.9,0.4,11,27.3,1.404,-0.117,0.052
Diamond DeShields,CHI,0,G,53616,82,82,36.24,6.72,16.92,0.399,1.8,5.52,0.316,5.04,11.4,0.44,0.451,4.08,4.92,0.836,1.08,5.52,6.6,2.88,1.56,0.48,2.64,3.24,19.44,16.2,0.508,0.328,0.291,3.4,10.2,13.4,2.1,1,12,26.1,1.404,1.404,0.094
Riquna Williams,LAS,0,G,110000,55.47058824,33.76470588,30.96,4.8,12.6,0.384,2.76,7.2,0.391,2.04,5.4,0.375,0.496,2.28,2.64,0.88,0.72,2.4,3.12,1.92,1.32,0.24,1.44,3,14.76,15.4,0.538,0.57,0.207,2.5,5.8,10.4,2.2,0.6,9.6,21.9,1.404,0.819,0.132
Candice Dupree,IND,0,F,117500,82,82,36.84,6.12,13.08,0.472,0,0.12,0,6.12,12.96,0.475,0.472,1.68,1.92,0.839,0.84,5.16,6,3,0.48,0.72,1.8,1.2,13.92,14.5,0.502,0.008,0.152,2.7,9.4,14.9,0.8,1.5,11.7,19.3,1.404,0.585,0.062
Damiris Dantas,MIN,0,F,105000,62.70588236,62.70588236,30.84,4.08,9.48,0.432,1.92,4.92,0.393,2.16,4.56,0.475,0.534,0.84,1.2,0.731,1.32,4.08,5.4,3.84,0.84,0.72,2.04,3.36,11.04,14.8,0.55,0.519,0.126,5.2,10.7,20.2,1.5,2,17.1,17.7,1.404,1.17,0.133
Chelsea Gray,LAS,0,G,115000,82,82,39.12,6.6,15.96,0.416,1.8,4.68,0.382,4.92,11.28,0.43,0.471,2.28,2.52,0.917,0.48,4.08,4.56,7.08,1.2,0.12,3.84,1.68,17.4,15.8,0.509,0.29,0.159,1.4,6.6,31.1,1.5,0.2,18.3,23.8,1.287,1.404,0.085
Brianna Turner,PHO,0,F,44207,69.94117647,28.94117647,19.08,2.04,3.72,\,0,0,,2.04,3.72,0.538,0.538,0.84,1.08,0.731,1.92,3,4.92,0.6,0.24,0.84,0.84,2.04,4.8,14,0.571,0,0.286,11.6,15,5.7,0.8,3.6,15.6,12.5,1.053,0.585,0.125
Jasmine Thomas,CON,0,G,117500,82,82,35.64,4.92,12.48,0.392,1.56,4.32,0.366,3.36,8.16,0.405,0.455,1.92,2.52,0.8,0.72,2.76,3.48,6.12,1.68,0.12,3.24,2.16,13.32,13.9,0.491,0.346,0.197,2,5.5,28.3,2.4,0.4,19.4,20.6,0.936,1.404,0.078
Danielle Robinson,MIN,0,G,108000,82,60.29411765,32.4,4.92,11.16,0.437,0.36,1.44,0.22,4.56,9.72,0.469,0.451,2.04,2.28,0.879,0.72,3.48,4.2,4.44,1.44,0.24,2.52,2.16,12.12,14.3,0.497,0.13,0.209,3,7.9,22.4,2.4,0.7,16.9,20.3,0.936,1.638,0.098
Lexie Brown,MIN,0,G,44273,79.5882353,0,21.96,3,7.56,0.402,1.92,4.92,0.385,1.2,2.64,0.432,0.526,1.08,1.44,0.789,0.24,1.44,1.68,1.68,1.08,0,1.44,1.56,9.12,13.4,0.554,0.646,0.182,1.4,4.6,12.6,2.6,0.1,15.4,19.8,0.936,0.936,0.105
Isabelle Harrison,DAL,0,F,53290,74.76470589,69.94117647,30.72,4.2,9.36,0.456,0,0.24,0,4.2,9.12,0.468,0.456,1.8,2.64,0.716,2.76,4.2,6.96,1.68,1.32,0.96,1.8,3.12,10.32,15.6,0.495,0.025,0.278,10.2,13.5,10.4,2.4,2.8,15.1,18.5,0.936,0.936,0.081
Jantel Lavender,CHI,0,F,115000,55.47058824,53.05882353,32.28,5.4,10.92,0.49,0.36,1.44,0.222,5.04,9.6,0.53,0.505,0.96,1.08,0.905,2.4,5.88,8.28,1.32,0.36,0.72,1.68,1.8,12,14.1,0.527,0.129,0.1,8.8,14.3,6.8,0.6,1.5,12.7,17.7,0.936,0.702,0.085
Odyssey Sims,MIN,0,G,115000,82,82,38.28,6.72,16.08,0.415,0.84,3.24,0.269,5.76,12.72,0.453,0.443,3.12,3.96,0.795,0.84,3.24,4.08,6.48,1.68,0.12,3.96,2.4,17.4,15,0.488,0.204,0.246,2.7,6.5,29.3,2.2,0.3,18.2,25.5,0.819,1.638,0.078
Erica Wheeler,IND,0,G,80000,82,82,30,4.44,10.56,0.426,1.68,4.44,0.384,2.76,6.12,0.457,0.507,1.44,1.68,0.872,0.12,3.48,3.6,6,1.44,0.12,3.48,2.64,12.12,15.8,0.538,0.419,0.158,0.7,6.9,35.3,2.5,0.5,23.3,22.1,0.819,0.819,0.065
Tiffany Mitchell,IND,0,G,53290,79.5882353,33.76470588,30.24,3.96,10.44,0.381,0.72,2.52,0.29,3.24,7.92,0.41,0.416,3,3.36,0.892,0.84,2.64,3.48,2.64,0.72,0.12,2.04,3,11.64,11.2,0.491,0.241,0.325,3.2,6.6,14.5,1.2,0.3,14.4,20.8,0.702,0.117,0.037
Amanda Zahui B.,NYL,0,C,108000,57.88235294,55.47058824,27.96,4.08,8.64,0.468,1.08,3.48,0.319,3,5.16,0.567,0.532,1.2,1.32,0.852,1.32,6.24,7.56,1.08,1.32,1.68,1.56,3.96,10.32,15.8,0.56,0.399,0.156,5.3,15.5,6.6,2.3,4.9,14.8,17,0.702,0.936,0.098
Megan Gustafson,DAL,0,C,34194,60.29411765,0,11.4,1.32,2.64,0.491,0,0.48,0.111,1.2,2.16,0.565,0.5,0.84,0.96,0.9,0.96,2.04,3,0.36,0.24,0.24,0.48,1.2,3.48,15.1,0.572,0.164,0.364,9.4,15.7,5.5,0.9,2.2,13.6,14.3,0.702,0.234,0.124
Tiffany Hayes,ATL,0,G,115260,69.94117647,69.94117647,33.84,6.12,15.48,0.393,1.44,4.8,0.308,4.56,10.68,0.432,0.441,3.96,5.28,0.764,0.84,2.76,3.6,3.36,1.2,0.36,2.88,2.88,17.64,15.1,0.497,0.313,0.34,2.7,5.7,21.9,1.8,0.8,14,27.1,0.585,0.702,0.05
Jewell Loyd,SEA,0,G,117500,65.11764706,50.64705883,30.48,5.16,13.32,0.391,1.56,4.44,0.337,3.72,8.76,0.419,0.448,2.88,3.12,0.928,0.48,2.76,3.24,2.4,1.56,0.12,2.28,1.44,14.76,15.6,0.504,0.338,0.231,1.9,6.6,15,2.7,0.4,13.6,25.4,0.585,0.936,0.078
Candace Parker,LAS,0,F-C,117500,53.05882353,53.05882353,31.2,4.8,11.52,0.422,0.84,3.24,0.267,3.96,8.28,0.483,0.46,2.88,3.6,0.791,1.32,6.36,7.68,4.2,1.2,0.96,3,2.16,13.44,18,0.514,0.284,0.318,4.8,14,22.2,2.1,2.5,18.3,23,0.585,1.404,0.124
Kalani Brown,LAS,0,C,49539,67.52941177,0,16.2,2.28,4.8,0.478,0,0,0,2.28,4.8,0.482,0.478,1.56,1.92,0.783,1.44,2.76,4.2,0.72,0.36,0.96,1.2,2.04,6.12,15.9,0.54,0.009,0.407,10.3,14.8,7.4,1.2,4.9,17.9,19.2,0.585,0.819,0.128
Rebecca Allen,NYL,0,G,80000,57.88235294,4.823529412,20.64,3.24,7.8,0.417,1.44,3.36,0.426,1.8,4.44,0.409,0.51,0.6,0.84,0.813,0.6,2.4,3,0.84,0.6,0.96,0.84,2.52,8.64,13.5,0.527,0.436,0.103,3.3,8.4,7.4,1.5,3.6,9.4,19.1,0.585,0.234,0.059
Nayo Raincock-Ekunwe,NYL,0,F,41965,67.52941177,2.411764706,15.72,1.8,3.36,0.544,0,0.12,0.333,1.8,3.24,0.553,0.551,0.72,1.08,0.64,1.68,1.68,3.36,0.48,0.36,0.12,0.96,1.8,4.44,11.3,0.572,0.038,0.316,12,11.9,5.4,1.1,0.9,19.6,13.3,0.585,0,0.047
